2026-03-29 17:45:06.455 | INFO     | Models:get_metrics:211 - Class: MLPNet | MAPE train: 28.6496
2026-03-29 17:46:10.875 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:46:10.877 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 1000, 'lr': 0.001, 'verbose': 100}
2026-03-29 17:46:13.443 | INFO     | Models:get_metrics:208 - Class: MLPNet | RMSE train: 471734.2724
2026-03-29 17:46:13.443 | INFO     | Models:get_metrics:209 - Class: MLPNet | RMSE test: 437757.4426
2026-03-29 17:46:13.443 | INFO     | Models:get_metrics:210 - Class: MLPNet | MAPE train: 31.5012
2026-03-29 17:46:13.443 | INFO     | Models:get_metrics:211 - Class: MLPNet | MAPE train: 30.9437
2026-03-29 17:46:31.728 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:46:31.738 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 1000, 'lr': 0.001, 'verbose': 100}
2026-03-29 17:46:34.278 | INFO     | Models:get_metrics:208 - Class: MLPNet | RMSE train: 445197.7747
2026-03-29 17:46:34.278 | INFO     | Models:get_metrics:209 - Class: MLPNet | RMSE test: 419042.6909
2026-03-29 17:46:34.278 | INFO     | Models:get_metrics:210 - Class: MLPNet | MAPE train: 28.2126
2026-03-29 17:46:34.280 | INFO     | Models:get_metrics:211 - Class: MLPNet | MAPE train: 27.3376
2026-03-29 17:46:51.698 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:46:51.708 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 1000, 'lr': 0.01, 'verbose': 100}
2026-03-29 17:46:54.041 | INFO     | Models:get_metrics:208 - Class: MLPNet | RMSE train: 344666.0769
2026-03-29 17:46:54.042 | INFO     | Models:get_metrics:209 - Class: MLPNet | RMSE test: 365623.7392
2026-03-29 17:46:54.043 | INFO     | Models:get_metrics:210 - Class: MLPNet | MAPE train: 23.3621
2026-03-29 17:46:54.043 | INFO     | Models:get_metrics:211 - Class: MLPNet | MAPE train: 23.0793
2026-03-29 17:47:06.090 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:47:06.097 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 1000, 'lr': 0.05, 'verbose': 100}
2026-03-29 17:47:08.426 | INFO     | Models:get_metrics:208 - Class: MLPNet | RMSE train: 335086.6288
2026-03-29 17:47:08.426 | INFO     | Models:get_metrics:209 - Class: MLPNet | RMSE test: 359382.3975
2026-03-29 17:47:08.426 | INFO     | Models:get_metrics:210 - Class: MLPNet | MAPE train: 24.5997
2026-03-29 17:47:08.426 | INFO     | Models:get_metrics:211 - Class: MLPNet | MAPE train: 23.4375
2026-03-29 17:47:26.014 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
